HOSTNAMES,PARTITION,CPUS,MEMORY,GRES
ilps-cn001,cpu,48,771676,
ilps-cn002,cpu,48,771676,
ilps-cn003,cpu,48,256588,
ilps-cn004,cpu,48,256588,
ilps-cn005,cpu,48,256575,
ilps-cn006,cpu,48,256575,
ilps-cn007,cpu,48,256575,
ilps-cn008,cpu,48,256575,
ilps-cn101,gpu,32,256818,gpu:maxwell:4       
ilps-cn102,gpu,32,256818,gpu:pascal:4        
ilps-cn103,gpu,32,256818,gpu:maxwell:4       
ilps-cn104,gpu,32,256818,gpu:pascal:4        
ilps-cn105,gpu,40,256816,gpu:pascal:4        
ilps-cn106,gpu,40,256816,gpu:pascal:4        
ilps-cn107,gpu,40,256816,gpu:pascalxp:4      
ilps-cn108,gpu,32,256818,gpu:pascal:4
ilps-cn109,gpu,32,256818,gpu:maxwell:4       
ilps-cn110,gpu,40,256816,gpu:pascal:4        
ilps-cn111,gpu,40,256816,gpu:p40:4
ilps-cn112,gpu,40,256816,gpu:pascalxp:4      
ilps-cn113,gpu,40,256816,gpu:pascalxp:4      
ilps-cn114,gpu,40,256816,gpu:pascalxp:4      
ilps-cn115,gpu,40,256816,gpu:volta:4
